towerdb owner,identification - site key,identification - code,identification - fl,position - site name,identification - other mno fl,position - macro region,position - region,position - municipality,position - address,position - latitude,position - longitude,category - categorization by transmission sys (subcluster),category - categorization by site type,column1,category - categorisation by inhabitants,other - ownership,other - status,column2,column3,column4,column5,column6,column7,column8,column9,column10,lease contract - current annual lease fee,lease contract - lease contract comment,column11,column12,column13,column14,tenants - anchor,tenants - vf - ran sharing,tenants - vf - passive,tenants - wind - ran sharing,tenants - wind - passive,tenants - cosmote - passive,tenants - ran sharing tenants,tenants - passive tenants,tenants - non-mno tenants,tenants - non-mno tenant name,tenants - total tenants,column15,ee - no. of 24hr generators,ee - no. of standby generators,kpi - sites,kpi - tenants,msa - bts/replacement,msa - bts commitment site,column16,infrastructure type - technology,infrastructure type - fibre / microwave,infrastructure type - floor space,infrastructure type - tower height,column17,notified-97 (gr use only),changes (gr use only),msa - billing trigger stop date,other - indoor vs outdoor,skylon - category,msa - standard configuration,msa - construction type,msa - hub sites total mw diameter,bp - consolidated classification,msa - critical site,sensitive - due to,sensitive - description,sensitive - department,notified - department,notified - due to,msa - sensitive,msa - notified,notified - status,notified - details,msa - rectifier,msa - battery,msa - aircon,msa - revenue generating,msa - date of decommissioning,flag indicating bts site,msa - billing trigger date,msa - dg-shelter,msa - critical site in excess of the 15.5% cap,msa - form of active sharing,msa - start date for active sharing arrangement,msa - end date for active sharing arrangement,column18,msa - rfai date,msa - site acceptance date,msa - sub-lease reason,msa - sub-lease applies,msa - date of equipment removal (vf),msa - date of equipment removal (wh)
Vodafone,4337-1004337,4337,1004337,?????? 1-KA??????,,???????,?????? ????? ??????,?????????,"?????????? ????????? (??????) 60, ????????.",37.96204167,23.71029722,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,2965.56,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,Outdoor Small Cell Site,Outdoor Small Cell,Rooftop,,Outdoor Small Cell,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4338-1004338,4338,1004338,?????? 2-KA??????,,???????,?????? ????? ??????,?????????,"?????????? ????????? 107 - ????????, T.K.16231",37.95843056,23.70668611,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,3759.48,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,Outdoor Small Cell Site,Outdoor Small Cell,Rooftop,,Outdoor Small Cell,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4344-1004344,4344,1004344,??????????? MICRO,,???????,?????? ????? ??????,?????????,"??????????? 31, ????????",37.95870833,23.69890833,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,0,No lease - Commercial agreement / customer,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,Outdoor Small Cell Site,Outdoor Small Cell,Rooftop,,Outdoor Small Cell,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,"Customer agreement, Micro site",No,,
Vodafone,4345-1004345,4345,1004345,????????? MICRO 1,,???????,?????? ????? ??????,?????????,????????? 68 ????????,37.95815278,23.70890833,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,3204.12,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4346-1004346,4346,1004346,????????? MICRO 2,,???????,?????? ????? ??????,?????????,????????? 36 ????????,37.95648611,23.71085278,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,2066.28,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,Outdoor Small Cell Site,Outdoor Small Cell,Rooftop,,Outdoor Small Cell,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4348-1004348,4348,1004348,??????? ????????,,???????,????????? ????? ??????,????????,"???????? 4-6, ??????? ??????? ????????",37.9653,23.742975,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,2474.52,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,435-1000435,435,1000435,?????,131802,?????? ???????,?????,?????,"???? ""?????"", ?????",36.41643889,27.37009167,Macro,Greenfield,,Rural,Shared_VF_Own,In Service,,,,,,,,,,3426.6,,,,,,1,0,0,1,0,0,1,0,0,,2,,0,2,1,1,,No,,2g/3g/4g,Mw,22.5,30,,,,,Indoor,GBT,Transmission Hub Site_4-sector,Greenfield,>15,GBT,Yes,,,,,,No,No,,,Yes,Yes,Yes,1,,No,17/11/2020,No,No,MORAN,17/11/2020,,,,,,Yes,,
Vodafone,4352-1004352,4352,1004352,???????? & ??????????,D27101,???????,?????? ????? ??????,??????,"????. ?????????? 24 , ??????",37.91315278,23.70862778,Micro,Micro,,Heavy Urban,Shared_VF_Own,In Service,,,,,,,,,,5302.8,,,,,,1,0,0,1,0,0,1,0,0,,2,,0,0,1,1,,No,,2g/3g,Fo,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,MORAN,17/11/2020,,,,,Micro site,No,,
Vodafone,4355-1004355,4355,1004355,??.??????-??????,,???????,????????? ????? ??????,????????,"?????????? 2, ??????",37.97731944,23.72113056,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,5967.72,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g/3g/4g,Fo,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4356-1004356,4356,1004356,????.????????? MICRO,,???????,????????? ????? ??????,????????,????. ????????? 27 ??? ????? ????? ????????,37.97898333,23.763075,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,3502.44,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g/3g,Mw,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
